city,district,rooms,rent,address,construct_year,housing_type,on_sale,size 
TAMPERE,Epilä,3,1051.00,Tapettikatu 9 B,2000,block_of_flats,False,78.00
SÖDERKULLA,Söderkulla,1,640.00,Graniittitie 25 A,2021,block_of_flats,False,34.00
ESPOO,Vermonniitty,2,925.00,Kaarlo Sarkian katu 1 D,2021,block_of_flats,False,45.50
HELSINKI,Kalasatama,2,1335.00,Leonkatu 22 D,2013,block_of_flats,False,59.00
JYVÄSKYLÄ,Kuokkala,2,919.00,Tahvosentie 22 A,2013,block_of_flats,False,60.50
KUOPIO,Litmanen,2,599.00,Koiravedenkatu 17 C,1991,loft_house,False,42.00
KAJAANI,Keskusta,2,699.00,Louhikatu 9 as,1960,block_of_flats,False,49.00
ESPOO,Kilo,2,966.00,PUISTOPIHA 2 A,1998,block_of_flats,False,52.50
TAMPERE,Keskusta,1,745.00,Puuvillatehtaankatu 6 B,2023,block_of_flats,False,32.00
TAMPERE,Keskusta,1,710.00,Puuvillatehtaankatu 6 F,2023,block_of_flats,False,29.50
RAUMA,Polari,3,599.00,Sepänkatu 4 B,1968,block_of_flats,False,66.00
ESPOO,Niittykumpu,2,874.00,Vuoritontuntie 3 A,2023,block_of_flats,False,34.00
ESPOO,Niittykumpu,1,733.00,Vuoritontuntie 3 A,2023,block_of_flats,False,23.00
ESPOO,Niittykumpu,2,980.00,Vuoritontuntie 3 A,2023,block_of_flats,False,42.50
ESPOO,Niittykumpu,1,785.00,Vuoritontuntie 3 B,2023,block_of_flats,False,29.00
ESPOO,Niittykumpu,1,790.00,Vuoritontuntie 3 B,2023,block_of_flats,False,29.00
ESPOO,Niittykumpu,1,780.00,Vuoritontuntie 3 C,2023,block_of_flats,False,29.00
ESPOO,Niittykumpu,2,1127.00,Vuoritontuntie 3 C,2023,block_of_flats,False,50.50
ESPOO,Niittykumpu,2,879.00,Vuoritontuntie 3 C,2023,block_of_flats,False,34.00
LAPPEENRANTA,Tirilä,2,675.00,Onnelantie 40 A,1975,block_of_flats,False,61.00
LAHTI,Keskusta,1,670.00,Mariankatu 10 D,2021,block_of_flats,False,35.50
ESPOO,Vermonniitty,1,795.00,Perilänniitty 3 A,2020,block_of_flats,False,29.50
YLÖJÄRVI,Soppeenmäki,3,781.00,Murtomäentie 4-6 E,1975,block_of_flats,False,75.00
HÄMEENLINNA,Ahvenisto,1,640.00,Turuntie 38 C,1913,block_of_flats,False,33.00
HELSINKI,Kannelmäki,2,886.00,Pasuunatie 4 b B,2013,block_of_flats,False,38.00
HELSINKI,Kuninkaantammi,1,630.00,Taidemaalarinkatu 7 A,2019,block_of_flats,False,20.50
TURKU,Herttuankulma,1,607.00,Fatabuurinkatu 6 A,2020,block_of_flats,False,28.50
VANTAA,Kaivoksela,3,1320.00,Husbackankuja 6 B,2014,block_of_flats,False,71.50
TUUSULA,Tuusula,1,741.00,Kievarinkaari 2 B,2014,block_of_flats,False,42.00
KUOPIO,Litmanen,3,680.00,Mertakaari 30 B,1991,loft_house,False,60.00
ESPOO,Niittykumpu,3,1477.00,Vuoritontuntie 3 C,2023,block_of_flats,False,70.50
HELSINKI,Vuosaari,2,934.00,Aurinkotuulenkatu 8 C,2011,block_of_flats,False,39.50
TURKU,Kakolanmäki,4,1421.00,Kakolankatu 5 B,2018,block_of_flats,False,87.00
KANTVIK,Kantvik,3,761.00,Kummihovi C,1973,block_of_flats,False,74.00
HELSINKI,Herttoniemenranta,2,960.00,Laivalahdenkaari 34 C,,block_of_flats,False,56.00
ESPOO,Matinkylä,2,1053.00,Pyyntitie 1 A,2018,block_of_flats,False,51.50
TURKU,Herttuankulma,1,623.00,Fatabuurinkatu 6 C,2020,block_of_flats,False,29.50
SARVVIK,Sarfvik,2,843.00,Kiurunkannuksentie 1 A,2016,block_of_flats,False,43.00
HELSINKI,Kallio,3,1401.00,Neljäs linja 3-5 A,1946,block_of_flats,False,62.30
TAMPERE,Hervanta,1,625.00,Louhoskuja 4 A,2023,block_of_flats,False,29.50
TAMPERE,Hervanta,1,625.00,Louhoskuja 4 A,2023,block_of_flats,False,29.50
TAMPERE,Hervanta,4,1260.00,Louhoskuja 4 A,2023,block_of_flats,False,68.00
HELSINKI,Konala,1,725.00,Vuorikummuntie 6 b B,2021,block_of_flats,False,25.00
PORI,Vähärauma,3,599.00,Paturintie 21 B,1974,block_of_flats,False,73.00
PORI,Riihiketo,2,659.00,Teljänkatu 1b B,2017,block_of_flats,False,36.50
OULU,Etu-Lyötty,2,730.00,Arkistokatu 4 C,2023,block_of_flats,False,41.50
HELSINKI,Lauttasaari,2,1198.00,Itälahdenkatu 14 A,1982,block_of_flats,False,49.50
OULU,Peltola,2,725.00,Peltolankaari 7 B,1998,loft_house,False,54.50
LAHTI,Keskusta,1,719.00,Kirkkokatu 19 as,2015,block_of_flats,False,39.50
VANTAA,Jokiniemi,1,630.00,Maanviljelijänkuja 7 as,2020,block_of_flats,False,21.00
JYVÄSKYLÄ,Seppälä,2,670.00,Palanderinkatu 7 B,2014,block_of_flats,False,50.00
JYVÄSKYLÄ,Keltinmäki,2,610.00,Keltinmäentie 27 D,1974,block_of_flats,False,50.00
TURKU,Martti,3,1022.00,Tervahovinkatu 12 A,1996,block_of_flats,False,74.50
TAMPERE,Niemenranta,2,726.00,Pikkuniemenkatu 4 B,2019,block_of_flats,False,47.00
ESPOO,Matinkylä,2,967.00,Matinkallio 7 B,2017,block_of_flats,False,46.00
VANTAA,Koivuhaka,1,764.00,Peltolantie 38 B,2020,block_of_flats,False,31.50
JYVÄSKYLÄ,Rautpohja,2,660.00,Rautpohjankatu 11 B,1939,block_of_flats,False,47.00
PIRKKALA,Killo,1,578.00,Pähkinäpolku 2 B,2017,block_of_flats,False,28.50
KERAVA,Keskusta,2,710.00,Tapulikatu 32 A,2011,block_of_flats,False,44.50
VANTAA,Pähkinärinne,2,933.00,Lehtikallio 6 B,2015,block_of_flats,False,53.00
HELSINKI,Kallio,2,999.00,Alppikatu 3 B,1964,block_of_flats,False,56.50
TURKU,Herttuankulma,3,933.00,Fatabuurinkatu 6 A,2020,block_of_flats,False,56.50
ESPOO,Tapiola,3,1219.00,Tietäjäntie 11 C,1978,block_of_flats,False,56.50
LOHJA,Virkkala,3,749.00,Lähdehaantie 6 I,1972,block_of_flats,False,78.00
HELSINKI,Vallila,2,1123.00,Aleksis Kiven katu 11 a D,1990,block_of_flats,False,46.00
MIKKELI,Graani,2,870.00,Graanintie 27 A,2016,block_of_flats,False,50.50
KUOPIO,Pirtti,2,599.00,Perunakatu 5 B,1993,block_of_flats,False,43.50
HELSINKI,Pasila,2,1040.00,Postiljooninkatu 17 B,2020,block_of_flats,False,42.50
TURKU,Vähäheikkilä,2,789.00,Vähäheikkiläntie 37 A,2022,block_of_flats,False,41.50
ESPOO,Espoonlahti,3,1380.00,Maakravunkuja 2 as,2023,block_of_flats,False,63.50
ESPOO,Espoonlahti,2,965.00,Espoonlahdenkatu 14 B,2023,block_of_flats,False,47.50
ESPOO,Espoonlahti,1,770.00,Espoonlahdenkatu 10 as,2022,block_of_flats,False,27.50
JÄRVENPÄÄ,Lepola,3,1015.00,Heinähäntä 2 A,2022,block_of_flats,False,63.00
JÄRVENPÄÄ,Lepola,1,640.00,Heinähäntä 2 B,2022,block_of_flats,False,27.00
HELSINKI,Pitäjänmäki,3,1395.00,KONALANTIE 7 C,1974,block_of_flats,False,84.00
OULU,Limingantulli,2,754.00,Rautatienkatu 74 A,2012,block_of_flats,False,43.00
HELSINKI,Katajanokka,2,1735.00,Kauppiaankatu 5 A,1903,block_of_flats,False,74.00
OULU,Limingantulli,2,774.00,Rautatienkatu 74 A,2012,block_of_flats,False,42.50
OULU,Laanila,2,540.00,Laamannintie 15 B,1957,block_of_flats,False,47.00
TAMPERE,Santalahti,1,658.00,Paasikoskenraitti 2 B,2020,block_of_flats,False,31.00
PORI,Vähärauma,2,529.00,Paturintie 15 C,1974,block_of_flats,False,57.50
KERAVA,Keskusta,1,660.00,Seunalantie 7 A,2023,block_of_flats,False,28.00
KERAVA,Keskusta,1,700.00,Seunalantie 7 A,2023,block_of_flats,False,30.50
KERAVA,Keskusta,3,1010.00,Seunalantie 7 A,2023,block_of_flats,False,54.50
KERAVA,Keskusta,1,730.00,Seunalantie 7 A,2023,block_of_flats,False,34.00
MIKKELI,Laajalampi,3,640.00,Suksisepäntie 8 G,1979,block_of_flats,False,79.50
KOTKA,Mussalo,3,740.00,Vasikkaniementie 1 A,1983,loft_house,False,72.00
KIRKKONUMMI,Keskusta,2,876.00,Ervastintie 3 B,2016,block_of_flats,False,47.50
TURKU,Martti,2,825.00,Itäinen Rantakatu 64 A,1999,block_of_flats,False,54.00
LAHTI,Ruoriniemi,2,748.00,Pursimiehenkatu 2 AS,1995,block_of_flats,False,46.50
HELSINKI,Jätkäsaari,1,1147.00,Tyynenmerenkatu 5 B,2012,block_of_flats,False,41.50
LAHTI,Tonttila,3,815.00,Aittapellonkatu 4 A,1987,block_of_flats,False,74.00
OULU,Kaijonharju,2,641.00,Kalevalantie 15 E,1994,block_of_flats,False,55.00
HELSINKI,Katajanokka,1,983.00,Kruunuvuorenkatu 2 C,2019,block_of_flats,False,32.00
RAUMA,Sinisaari,1,489.00,Aittakarinkatu 16 D,1975,block_of_flats,False,36.00
ESPOO,Espoonlahti,2,890.00,Espoonlahdenkatu 14 B,2023,block_of_flats,False,38.00
MÄNTSÄLÄ,Keskusta,2,813.00,Hemmintie 4 B,2014,block_of_flats,False,57.00
HELSINKI,Pitäjänmäki,4,1535.00,KONALANTIE 7 C,1974,block_of_flats,False,94.50
TAMPERE,Hervanta,2,744.00,Opiskelijankatu 9 B,1976,block_of_flats,False,58.50
LAPPEENRANTA,Pikisaari,1,631.00,Pikisaarenkatu 40 as,1997,block_of_flats,False,37.50
ESPOO,Niittykumpu,1,928.00,Niittyportinpolku 2 B,2018,block_of_flats,False,39.50
HELSINKI,Vallila,2,1331.00,Aleksis Kiven katu 11 a B,1990,block_of_flats,False,57.50
ESPOO,Vermonniitty,1,722.00,Kaarlo Sarkian katu 10 D,2020,block_of_flats,False,26.00
VALKEAKOSKI,Roukko,2,679.00,Kenraalintie 8 as,1952,block_of_flats,False,50.50
KUOPIO,Pirtti,2,575.00,Kielorannankatu 8 B,1992,loft_house,False,42.00
HELSINKI,Herttoniemi,2,1059.00,Killingholmankuja 3 A,2000,block_of_flats,False,47.50
TAMPERE,Härmälänranta,2,754.00,Konttilukinkatu 7 B,2021,block_of_flats,False,43.50
ESPOO,Matinkylä,2,876.00,Nelikkotie 8 C,2003,block_of_flats,False,43.00
TAMPERE,Kaleva,2,862.00,Sarvijaakonkatu 13 A,1996,block_of_flats,False,52.00
TAMPERE,Kaleva,2,991.00,Sarvijaakonkatu 19 A,1996,block_of_flats,False,58.00
JÄRVENPÄÄ,Pajala,2,833.00,Kaskitie 5 A,2015,block_of_flats,False,44.00
HELSINKI,Lauttasaari,2,1146.00,Kiviaidankatu 7 A,2017,block_of_flats,False,43.00
ESPOO,Pohjois-Tapiola,1,805.00,Metsänpojankuja 5 B,2021,block_of_flats,False,27.50
TAMPERE,Santalahti,2,770.00,Paasikoskenraitti 2 B,2020,block_of_flats,False,43.00
JYVÄSKYLÄ,Lutakko,2,780.00,Vaneritori 3 A,1999,block_of_flats,False,52.00
JÄÄLI,Jääli,2,519.00,Ketotie 2 B,1999,loft_house,False,46.00
VANTAA,Hämeenkylä,2,772.00,Kolmikallionkuja 1 D,2015,block_of_flats,False,40.00
KERAVA,Jaakkola,2,873.00,Palokorvenkatu 9 A,1995,block_of_flats,False,58.50
HELSINKI,Roihuvuori,1,706.00,Roihuvuorentie 30 A,1956,block_of_flats,False,26.00
HELSINKI,Taka-Töölö,1,812.00,Topeliuksenkatu 41a A,2019,block_of_flats,False,25.00
HELSINKI,Herttoniemi,2,1024.00,Hiihtäjäntie 1 F,2012,block_of_flats,False,47.00
VANTAA,Kaivoksela,3,1316.00,Husbackankuja 6 A,2014,block_of_flats,False,71.50
JYVÄSKYLÄ,Keskusta,3,935.00,Keskustie 17 A,1961,block_of_flats,False,76.00
KUOPIO,Pirtti,3,836.00,Kortekatu 6 B,1994,block_of_flats,False,79.00
TAMPERE,Santalahti,1,628.00,Rantakylänraitti 3 A,2019,block_of_flats,False,28.00
TURKU,Raunistula,1,585.00,Raunistulantie 21 A,2019,block_of_flats,False,25.00
HELSINKI,Jätkäsaari,3,1717.00,Tyynenmerenkatu 5 B,2012,block_of_flats,False,73.50
JYVÄSKYLÄ,Palokunnanmäki,1,551.00,Vesangantie 2 G,2018,block_of_flats,False,29.50
VAASA,Keskusta,2,660.00,Kauppapuistikko 17 B,1998,block_of_flats,False,45.00
PIRKKALA,Partola,2,848.00,Pereentie 1 A,2015,block_of_flats,False,50.00
PORI,Vanhakoivisto,1,531.00,Tuomolantie 40 AS,1996,block_of_flats,False,41.00
KERAVA,Kilta,1,631.00,Kankurinpolku 2 A,2020,block_of_flats,False,29.50
JYVÄSKYLÄ,Lutakko,2,800.00,Kiramo 3 A,1998,block_of_flats,False,55.50
ESPOO,Lintuvaara,2,979.00,Kyyhkysmäki 14 C,1993,block_of_flats,False,60.00
HELSINKI,Aurinkolahti,1,938.00,Paahtajankuja 1 A,2016,block_of_flats,False,41.50
KUOPIO,Itkonniemi,1,545.00,Sandelsinkatu 14 A,1981,block_of_flats,False,22.50
JÄRVENPÄÄ,Lepola,2,973.00,Tähkä 1 B,2014,block_of_flats,False,54.00
HELSINKI,Viikinmäki,3,1360.00,Ristiretkeläistenkatu 2 A,2021,block_of_flats,False,63.50
HELSINKI,Herttoniemi,3,1339.00,Suunnittelijankatu 4 A,2021,block_of_flats,False,63.50
TURKU,Kakolanmäki,1,726.00,Kakolankatu 5 B,2018,block_of_flats,False,43.50
TURKU,Keskusta,1,698.00,Ruusukorttelinkuja 1 B,2018,block_of_flats,False,33.50
ESPOO,Suurpelto,2,915.00,Suurpellon puistokatu 14 C,2018,block_of_flats,False,55.00
VANTAA,Kaivoksela,3,1225.00,Vanha Kaarelantie 6B A,2023,block_of_flats,False,68.50
VANTAA,Kaivoksela,3,1235.00,Vanha Kaarelantie 6B A,2023,block_of_flats,False,68.50
VANTAA,Kaivoksela,1,770.00,Vanha Kaarelantie 6B A,2023,block_of_flats,False,35.50
VANTAA,Kaivoksela,3,1240.00,Vanha Kaarelantie 6B A,2023,block_of_flats,False,68.50
PORVOO,Taidetehdas,2,857.00,Aleksanterinkaari 10 A,2018,block_of_flats,False,46.00
VAASA,Suvilahti,2,611.00,Pietarsaarenkatu 10 B,1973,block_of_flats,False,57.50
TAMPERE,Keskusta,2,935.00,Puuvillatehtaankatu 6 B,2023,block_of_flats,False,43.50
JYVÄSKYLÄ,Keltinmäki,2,570.00,Keltinmäentie 27 E,1974,block_of_flats,False,41.00
VANTAA,Koivuhaka,2,860.00,Kuriirikuja 6 B,2013,block_of_flats,False,47.00
VANTAA,Tikkurila,2,989.00,Lehdokkitie 4 A,2003,block_of_flats,False,50.50
ESPOO,Sepänkylä,2,910.00,Peuraniitty 1 G,2021,block_of_flats,False,58.00
VANTAA,Kivistö,2,890.00,Timanttikuja 7 A,2023,block_of_flats,False,47.50
VANTAA,Kivistö,1,720.00,Timanttikuja 7 A,2023,block_of_flats,False,30.50
VANTAA,Kivistö,2,890.00,Timanttikuja 7 A,2023,block_of_flats,False,47.50
VANTAA,Kivistö,1,740.00,Timanttikuja 7 A,2023,block_of_flats,False,30.50
VANTAA,Kivistö,2,895.00,Timanttikuja 7 A,2023,block_of_flats,False,48.00
VANTAA,Hakunila,3,960.00,Kaskelantie 27 B,2020,block_of_flats,False,53.50
HELSINKI,Haaga,3,1289.00,Näyttelijäntie 22 C,1959,block_of_flats,False,64.00
KERAVA,Keskusta,1,675.00,Seunalantie 7 A,2023,block_of_flats,False,28.00
LAHTI,Ankkuri,2,815.00,Vesijärvenkatu 59 A,2000,block_of_flats,False,56.50
VANTAA,Koivuhaka,1,590.00,Peltolantie 38 B,2020,block_of_flats,False,23.00
ESPOO,Suurpelto,2,850.00,Suurpellon puistokatu 14 B,2018,block_of_flats,False,48.50
ESPOO,Kauniainen,2,915.00,Ullanmäentie 10 C F,2021,block_of_flats,False,45.50
VANTAA,Tikkurila,2,909.00,Vernissakatu 5 A,2002,block_of_flats,False,44.50
ESPOO,Kauniainen,2,900.00,Ullanmäentie 10 C E,2021,block_of_flats,False,39.00
KUOPIO,Pirtti,3,836.00,Kortekatu 6 B,1994,block_of_flats,False,79.00
HELSINKI,Munkkiniemi,2,917.00,Munkkiniemen Puistotie 14 A,1938,block_of_flats,False,44.00
ESPOO,Vermonniitty,1,720.00,Perilänniitty 7 C,2018,block_of_flats,False,31.50
ESPOO,Vermonniitty,1,730.00,Kaarlo Sarkian katu 1 C,2021,block_of_flats,False,29.00
ESPOO,Vermonniitty,2,920.00,Kaarlo Sarkian katu 1 C,2021,block_of_flats,False,43.00
HELSINKI,Aurinkolahti,3,1370.00,Vuotie 49b A,2022,block_of_flats,False,58.00
HELSINKI,Pitäjänmäki,2,1063.00,Kokkokalliontie 5 R,1998,block_of_flats,False,67.50
ESPOO,Espoonlahti,3,1470.00,Espoonlahdenkatu 10 as,2022,block_of_flats,False,68.50
ESPOO,Niittykumpu,1,830.00,Niittykummuntie 12 D,2022,block_of_flats,False,33.50
LAHTI,Asemantausta,2,768.00,Nuolikatu 9 B,1992,block_of_flats,False,57.00
TAMPERE,Santalahti,2,765.00,Paasikoskenraitti 4 A,2023,block_of_flats,False,44.50
TAMPERE,Santalahti,1,585.00,Paasikoskenraitti 4 A,2023,block_of_flats,False,26.00
TAMPERE,Santalahti,1,600.00,Paasikoskenraitti 4 A,2023,block_of_flats,False,26.00
TAMPERE,Santalahti,1,600.00,Paasikoskenraitti 4 A,2023,block_of_flats,False,26.00
TAMPERE,Santalahti,1,610.00,Paasikoskenraitti 4 A,2023,block_of_flats,False,26.00
TAMPERE,Santalahti,1,580.00,Paasikoskenraitti 4 A,2023,block_of_flats,False,23.00
HELSINKI,Keskusta,2,1551.00,BULEVARDI 32 B,1937,block_of_flats,False,50.20
ESPOO,Olari,2,799.00,Puolikuu 2 C,2017,block_of_flats,False,42.00
HELSINKI,Kuninkaantammi,2,927.00,Taidemaalarinkatu 5 A,2016,block_of_flats,False,50.50
HELSINKI,Vallila,2,1010.00,Aleksis Kiven katu 11 a D,1990,block_of_flats,False,46.00
LAHTI,Niemi,2,715.00,Niemenkatu 5 A,1985,block_of_flats,False,43.50
VANTAA,Leinelä,1,755.00,Leinelän puistotie 12 B,2017,block_of_flats,False,34.50
VANTAA,Tikkurila,2,890.00,Neilikkatie 4 G,2021,block_of_flats,False,39.00
PORI,Impola,1,439.00,Rajalantie 14 as.,1976,block_of_flats,False,31.00
VANTAA,Kivistö,1,745.00,Topaasikuja 9 as,2020,block_of_flats,False,38.50
ESPOO,Mäkkylä,3,1199.00,Adjutantinkatu 3 B,2012,block_of_flats,False,62.50
HELSINKI,Herttoniemi,2,1095.00,Hiihtäjäntie 1 D,2012,block_of_flats,False,53.00
JÄRVENPÄÄ,Pöytäalho,1,580.00,Myllytie 15 A,2020,block_of_flats,False,26.00
ESPOO,Kilo,2,884.00,Nihtitorpankuja 5 A,2015,block_of_flats,False,49.50
ESPOO,Vermonniitty,1,805.00,Perilänniitty 3 A,2020,block_of_flats,False,33.00
ESPOO,Saunalahti,2,826.00,Saunalahdenkatu 1 A,2016,block_of_flats,False,45.50
JÄRVENPÄÄ,Pajala,2,855.00,Kaskitie 1 B,2022,block_of_flats,False,43.00
ESPOO,Leppävaara,2,815.00,Säterinkatu 14 as,2015,block_of_flats,False,35.50
LAHTI,Asemantausta,2,640.00,Nuolikatu 9 B,1992,block_of_flats,False,37.50
JYVÄSKYLÄ,Keltinmäki,2,600.00,Keltinmäentie 27 E,1974,block_of_flats,False,46.00
ESPOO,Vermonniitty,1,730.00,Perilänniitty 7 C,2018,block_of_flats,False,31.50
JYVÄSKYLÄ,Keltinmäki,2,560.00,Keltinmäentie 27 A,1974,block_of_flats,False,41.00
LAHTI,Asemantausta,2,784.00,Nuolikatu 9 A,1992,block_of_flats,False,58.00
VANTAA,Kivistö,2,864.00,Topaasikuja 9 as,2020,block_of_flats,False,45.50
ESPOO,Vermonniitty,1,820.00,Perilänniitty 3 B,2020,block_of_flats,False,33.00
ESPOO,Vermonniitty,3,1257.00,Kaarlo Sarkian katu 10 C,2020,block_of_flats,False,60.00
HELSINKI,Kuninkaantammi,2,850.00,Maisemamaalauksenkatu 8 B,,block_of_flats,False,39.50
VANTAA,Koivukylä,1,756.00,Norkkokuja 1 as,2021,block_of_flats,False,31.50
TAMPERE,Hatanpää,2,882.00,Siirtolapuutarhankatu 7 C,2000,block_of_flats,False,48.00
ESPOO,Painiitty,2,830.00,Lotankatu 5 A,2016,block_of_flats,False,42.00
ESPOO,Vermonniitty,4,1580.00,Kaarlo Sarkian katu 1 D,2021,block_of_flats,False,82.50
ESPOO,Painiitty,2,850.00,Lotankatu 5 A,2016,block_of_flats,False,48.50
KIRKKONUMMI,Finnsbacka,2,719.00,Eerikinkallio 6 B,1985,block_of_flats,False,50.50
OULU,Laanila,2,855.00,Laamannintie 3 D,2001,block_of_flats,False,58.50
TAMPERE,Kaleva,1,655.00,Jäähallinkaari 8 A,2023,block_of_flats,False,27.00
HELSINKI,Jollas,3,1389.00,Puuskarinne 7 A,1997,block_of_flats,False,83.50
HELSINKI,Kallio,4,1450.00,Alppikatu 3 A,1964,block_of_flats,False,86.50
HELSINKI,Hermanni,2,1128.00,Eläinlääkärinkatu 3 A,1937,block_of_flats,False,51.50
SAVONLINNA,Nätki,2,518.00,Kaartilantie 15 A,1974,block_of_flats,False,49.50
HELSINKI,Herttoniemi,2,1230.00,Killingholmankuja 3 A,2000,block_of_flats,False,62.50
VANTAA,Leinelä,1,785.00,Leinelän puistotie 12 A,2017,block_of_flats,False,34.50
TURKU,Herttuankulma,1,617.00,Fatabuurinkatu 6 B,2020,block_of_flats,False,29.00
HELSINKI,Pitäjänmäki,2,983.00,HENRIKINTIE 5 E,1978,block_of_flats,False,60.00
JOENSUU,Penttilä,2,679.00,Pyhäselänkatu 21 A,1973,block_of_flats,False,65.00
HELSINKI,Laajasalo,3,1227.00,Yliskyläntie 2 A,1996,block_of_flats,False,68.00
TAMPERE,Härmälänranta,2,703.00,Hissikatu 1 B,2015,block_of_flats,False,39.00
MÄNTSÄLÄ,Keskusta,1,648.00,Hemmintie 4 B,2014,block_of_flats,False,39.00
TAMPERE,Keskusta,1,725.00,Puuvillatehtaankatu 6 A,2023,block_of_flats,False,30.50
KIRKKONUMMI,Tolsa,2,790.00,Tarutie 28 B,2016,loft_house,False,46.00
HELSINKI,Tapanila,2,1042.00,Rajatie 5a A,2009,block_of_flats,False,49.50
VANTAA,Tikkurila,2,935.00,Talvikkitie 7 H,2018,block_of_flats,False,46.50
HELSINKI,Jätkäsaari,2,1251.00,Saukonpaadenranta 4 D,2012,block_of_flats,False,50.50
HELSINKI,Aurinkolahti,3,1345.00,Gustav Pauligin katu 5a A,2022,block_of_flats,False,64.50
KERAVA,Jaakkola,2,805.00,Palopellonkatu 8 B,2021,block_of_flats,False,51.00
ESPOO,Kivenlahti,1,810.00,Marinportti 4 A,2021,block_of_flats,False,33.50
VANTAA,Hakunila,3,946.00,Kaskelantie 12 A,2022,block_of_flats,False,56.00
HELSINKI,Kannelmäki,2,985.00,Vanhaistentie 1 c B,2022,block_of_flats,False,41.50
ESPOO,Niittykumpu,1,800.00,Niittykummuntie 12 D,2022,block_of_flats,False,33.50
VANTAA,Koivukylä,1,771.00,Norkkokuja 1 as,2021,block_of_flats,False,31.50
VANTAA,Koivukylä,1,766.00,Norkkokuja 1 as,2021,block_of_flats,False,31.50
ESPOO,Vermonniitty,2,878.00,Kaarlo Sarkian katu 10 C,2020,block_of_flats,False,40.50
HELSINKI,Kannelmäki,2,957.00,Pasuunatie 4 b B,2013,block_of_flats,False,46.00
TURKU,Herttuankulma,1,730.00,Malin Trällin kuja 1 B,2022,block_of_flats,False,41.00
HELSINKI,Aurinkolahti,2,925.00,Gustav Pauligin katu 5a B,2022,block_of_flats,False,41.50
ESPOO,Espoonlahti,3,1450.00,Espoonlahdenkatu 10 as,2022,block_of_flats,False,67.50
ESPOO,Espoonlahti,2,915.00,Espoonlahdenkatu 10 as,2022,block_of_flats,False,37.00
TURKU,Herttuankulma,2,723.00,Fatabuurinkatu 6 C,2020,block_of_flats,False,41.00
ESPOO,Espoonlahti,1,717.00,Kipparinkatu 4 B,2022,block_of_flats,False,28.50
HELSINKI,Aurinkolahti,2,1000.00,Vuotie 49b A,2022,block_of_flats,False,40.50
HELSINKI,Aurinkolahti,4,1750.00,Vuotie 49b A,2022,block_of_flats,False,81.00
HELSINKI,Aurinkolahti,3,1600.00,Vuotie 49b A,2022,block_of_flats,False,64.00
HELSINKI,Aurinkolahti,2,1005.00,Vuotie 49b A,2022,block_of_flats,False,40.50
HELSINKI,Aurinkolahti,2,1035.00,Vuotie 49b A,2022,block_of_flats,False,40.50
HELSINKI,Aurinkolahti,3,1590.00,Vuotie 49b A,2022,block_of_flats,False,64.00
HELSINKI,Pitäjänmäki,2,860.00,KOKKOKALLIONTIE 3 E,1974,block_of_flats,False,38.50
HELSINKI,Lauttasaari,2,1139.00,Itälahdenkatu 14 B,1982,block_of_flats,False,47.00
VANTAA,Kaivoksela,3,1245.00,Husbackankuja 6 B,2014,block_of_flats,False,71.00
ESPOO,Niittykumpu,1,850.00,Niittyportinpolku 2 B,2018,block_of_flats,False,39.50
HELSINKI,Pasila,2,1310.00,Postiljooninkatu 17 A,2020,block_of_flats,False,62.00
VANTAA,Kaivoksela,3,1254.00,Husbackankuja 6 A,2014,block_of_flats,False,71.50
ESPOO,Vermonniitty,2,980.00,Kaarlo Sarkian katu 10 D,2020,block_of_flats,False,46.50
OULU,Laanila,2,855.00,Laamannintie 3 D,2001,block_of_flats,False,58.50
ESPOO,Suurpelto,1,812.00,Suurpellon puistokatu 14 E,2018,block_of_flats,False,39.50
ESPOO,Finnoo,2,980.00,Syvänsalmenkatu 8 A,2022,block_of_flats,False,47.00
ESPOO,Finnoo,3,1310.00,Syvänsalmenkatu 8 A,2022,block_of_flats,False,66.00
ESPOO,Finnoo,3,1320.00,Syvänsalmenkatu 8 A,2022,block_of_flats,False,66.50
ESPOO,Espoonlahti,2,923.00,Maakravunkuja 2 as,2023,block_of_flats,False,47.50
ESPOO,Finnoo,3,1310.00,Syvänsalmenkatu 8 A,2022,block_of_flats,False,66.50
ESPOO,Espoonlahti,2,870.00,Espoonlahdenkatu 14 B,2023,block_of_flats,False,38.00
ESPOO,Espoonlahti,3,1365.00,Espoonlahdenkatu 14 B,2023,block_of_flats,False,63.00
VEHMERSALMI,Vehmersalmi,3,692.00,Pentinpolku 5 C 0,1991,terraced_house,False,71.00
TURKU,Herttuankulma,2,762.00,Fatabuurinkatu 6 B,2020,block_of_flats,False,43.00
SÄYNÄTSALO,Säynätsalo,2,519.00,Valtterintie 2 B,1979,block_of_flats,False,59.00
ESPOO,Sepänkylä,1,705.00,Peuraniitty 1 E,2021,block_of_flats,False,29.00
ESPOO,Saunalahti,2,895.00,Pohjoisviitta 2 A,2023,loft_house,False,42.00
ESPOO,Saunalahti,1,710.00,Pohjoisviitta 2 B,2023,loft_house,False,28.00
ESPOO,Saunalahti,2,836.00,Pohjoisviitta 2 C,2023,loft_house,False,41.50
HELSINKI,Malminkartano,2,1049.00,Juustenintie 4 A,2015,block_of_flats,False,57.50
SÄYNÄTSALO,Säynätsalo,1,475.00,Taaplaajantie 1 A,1975,block_of_flats,False,39.00
